ID,Longitude,Latitude,Elevation_m,SoilDepth_m,Drainage,Permeability,pH,OrganicCarbon_pct,Management_Zone,Recommended_Rotation
899+BGM_FSS+0018,148.3469848633,-35.8908462524,630.0,2.53,5.0,4.0,5.52,1.76,2,Barley - Chickpea - Wheat
899+BGM_FSS+0141,148.2540588379,-35.607383728,630.0,2.22,4.0,3.0,5.52,1.76,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS67,147.4985046387,-35.1859817505,630.0,2.0,4.0,3.0,5.52,1.76,2,Barley - Chickpea - Wheat
899+BGM_ESM+1002,148.1390991211,-35.6278533936,630.0,3.81,5.0,3.0,5.76,3.835,2,Barley - Chickpea - Wheat
899+BGM_FSS+0010,148.3292236328,-35.8483276367,630.0,1.85,5.0,3.0,6.0,5.91,2,Barley - Chickpea - Wheat
899+BGM_FSS+0024,148.3145599365,-35.9234619141,630.0,1.06,5.0,4.0,6.0,5.22,1,Durum Wheat - Lentil - Barley
899+BGM_ESM+1001,148.1438598633,-35.6214981079,630.0,2.01,5.0,3.0,6.166666666666667,5.736666666666666,2,Barley - Chickpea - Wheat
899+BGM_ESM+1011,148.2983551025,-35.7975845337,630.0,1.82,5.0,3.0,6.333333333333333,6.253333333333333,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0003,148.2219238281,-35.7903175354,630.0,1.6,5.0,3.0,6.5,6.77,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0123,148.1712188721,-35.713684082,630.0,2.6,6.0,4.0,5.883333333333334,6.37,2,Barley - Chickpea - Wheat
899+BGM_FSS+0113,148.2040557861,-35.6215438843,630.0,3.01,6.0,4.0,5.266666666666667,5.97,2,Barley - Chickpea - Wheat
899+BGM_ESM+1017,148.1232910156,-35.654384613,630.0,1.5,5.0,3.0,4.65,5.57,0,Oats - Lupin - Pasture
898+RAALS+CP401,147.1107940674,-34.8717079163,630.0,1.6,3.0,2.0,5.4,1.44,0,Oats - Lupin - Pasture
899+BGM_FSS+0004,148.2503662109,-35.7789802551,630.0,2.85,2.0,2.0,4.01,8.45,2,Barley - Chickpea - Wheat
899+BGM_FSS+0100,148.1644439697,-35.7343215942,630.0,2.83,5.0,3.0,3.983333333333333,6.0,2,Barley - Chickpea - Wheat
899+BGM_FSS+0050,148.1295166016,-35.7072486877,630.0,0.48,5.0,4.0,3.9566666666666666,3.55,0,Oats - Lupin - Pasture
899+Wagga_SLM+BD37,147.4548339844,-35.0422744751,630.0,2.0,4.0,3.0,3.93,1.1,0,Oats - Lupin - Pasture
899+BGM_ESM+1003,148.1361541748,-35.633480072,630.0,4.0,5.0,3.0,4.13,6.24,2,Barley - Chickpea - Wheat
898+BILLABONG+CP407,147.32945742,-35.75188068,630.0,1.6,3.0,2.0,4.5,3.24,0,Oats - Lupin - Pasture
899+BGM_FSS+0041,148.3273162842,-35.8058891296,630.0,3.0,6.0,4.0,5.5,5.04,2,Barley - Chickpea - Wheat
899+BGM_FSS+0101,148.0841674805,-35.625,630.0,2.68,6.0,4.0,5.22,4.0825,2,Barley - Chickpea - Wheat
899+BGM_FSS+0114,148.196472168,-35.6226921082,630.0,1.41,6.0,4.0,4.94,3.125,0,Oats - Lupin - Pasture
899+BGM_FSS+0104,148.196472168,-35.6226921082,630.0,3.04,5.0,4.0,4.66,2.1675,2,Barley - Chickpea - Wheat
899+SSM+SSM112,147.4715118408,-34.467918396,630.0,1.0,5.0,3.0,4.38,1.21,0,Oats - Lupin - Pasture
899+BGM_FSS+0146,148.2028961182,-35.6747932434,630.0,0.78,5.0,4.0,4.416666666666667,2.6500000000000004,0,Oats - Lupin - Pasture
899+BGM_FSS+0109,148.2173461914,-35.6526222229,630.0,0.93,5.0,4.0,4.453333333333333,4.09,0,Oats - Lupin - Pasture
899+BGM_FSS+0075,148.2809295654,-35.9320678711,630.0,3.0,5.0,3.0,4.49,5.53,2,Barley - Chickpea - Wheat
899+BGM_ESM+1014,148.1785736084,-35.6538085938,630.0,4.21,5.0,3.0,5.245,3.61,2,Barley - Chickpea - Wheat
899+Wagga_SLM+LS39,147.4996948242,-35.1780319214,630.0,0.8,4.0,3.0,6.0,1.69,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0163,148.2972259521,-35.830280304,630.0,2.81,5.0,3.0,6.0,5.595000000000001,2,Barley - Chickpea - Wheat
899+BGM_FSS+0066,148.2220001221,-35.8931121826,630.0,1.3,6.0,2.0,6.0,9.5,1,Durum Wheat - Lentil - Barley
899+BGM_FSS+0103,148.1202850342,-35.6761207581,630.0,1.61,6.0,4.0,5.234999999999999,6.74,0,Oats - Lupin - Pasture
899+BGM_FSS+0107,148.2341766357,-35.6676330566,630.0,3.0,6.0,4.0,4.47,3.98,2,Barley - Chickpea - Wheat
899+Morphology+CP322,153.3616943359,-28.7786064148,630.0,1.3,5.0,3.0,5.42,5.01,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS54,147.5309143066,-35.1966094971,630.0,2.0,3.0,2.0,5.67,2.61,2,Barley - Chickpea - Wheat
899+SSM+SSM33,148.5299682617,-34.5231361389,630.0,0.95,4.0,3.0,5.585,3.125,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS6,147.5338439941,-35.16381073,630.0,0.38,5.0,3.0,5.5,3.64,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS41,147.521697998,-35.2000770569,630.0,1.38,4.0,1.0,5.0,4.76,0,Oats - Lupin - Pasture
899+Wagga_SLM+LS59,147.5242919922,-35.2317123413,630.0,1.0,3.0,3.0,6.0,0.65,1,Durum Wheat - Lentil - Barley
898+CSIRO_LW+CP397,148.4010772705,-36.338142395,630.0,0.97,3.0,2.0,5.0,7.0,0,Oats - Lupin - Pasture
